# tau_s	eta_s	t_dec
1.26056541	1.32986e-01	166.972
1.83007459	9.38525e-02	132.763
1.70073601	1.02275e-01	148.343
1.52346299	1.05130e-01	111.626
0.14366653	1.93437e-02	151.616
0.36124412	1.51217e-01	157.014
0.94150809	1.31165e-01	106.748
0.15887985	8.86823e-02	116.641
0.19605856	4.50351e-02	152.126
1.00211856	7.93301e-02	128.785
1.84660697	1.15292e-01	105.703
1.59440092	1.32062e-01	105.030
0.96363424	3.66030e-02	157.654
1.22386062	2.19159e-02	144.975
0.28336688	1.28444e-02	102.448
0.84665012	1.32201e-01	114.645
0.43565636	1.52834e-02	127.810
1.09388988	7.91148e-02	137.516
1.77008219	1.17421e-01	146.789
0.54252453	6.52863e-02	118.193
1.13893191	1.07096e-01	144.736
0.68206685	1.40284e-01	112.350
0.31447439	1.48158e-01	116.434
0.51601954	6.81003e-02	144.862
0.57104343	1.26712e-01	157.387
0.88052310	1.49257e-01	111.210
1.53683608	8.04735e-02	162.194
0.66803353	6.22766e-02	138.481
1.11884191	3.40742e-02	115.491
0.14554052	1.04981e-01	119.824
1.42509738	4.69016e-02	157.102
0.45548933	1.00439e-01	139.351
0.48164175	1.17567e-01	132.510
1.15802355	8.33640e-02	115.790
0.18596044	8.19986e-03	138.512
1.25707352	7.10535e-02	161.215
1.36969351	1.40346e-01	143.462
0.45335734	1.11179e-02	145.631
0.71209435	3.66574e-02	131.959
1.84419446	1.21750e-01	155.923
1.07848408	9.97289e-02	129.053
1.16810970	1.50160e-01	117.514
0.39862710	6.36904e-03	130.066
1.61190123	1.81324e-02	121.152
0.70257906	5.80662e-02	129.249
1.24632521	1.03265e-01	133.987
0.71785099	1.79628e-02	105.531
0.14151006	5.99657e-02	120.915
0.87330473	1.36203e-01	137.871
1.16205426	1.01414e-01	162.602
0.76585897	4.41214e-02	111.147
1.87040665	6.17752e-02	157.799
0.16298903	9.25056e-02	125.602
1.54884055	3.59770e-02	142.978
0.87779787	3.73382e-02	139.708
0.81432904	1.32768e-01	126.766
1.00859233	6.37372e-02	129.546
1.89637481	1.35079e-02	165.219
0.26529578	7.94862e-02	163.319
0.47093433	6.01350e-02	147.798
1.65221792	4.98409e-02	162.389
1.46264038	2.88299e-02	151.303
1.04072188	1.16358e-01	127.979
0.22357293	1.08199e-01	107.849
1.12638297	6.71844e-02	156.102
0.47218240	5.23981e-02	160.939
1.79764395	1.27589e-01	104.666
1.56795042	1.50663e-01	126.712
1.08720259	1.06835e-01	110.168
1.37596835	1.09686e-01	128.708
0.30305988	1.28917e-01	114.426
0.11997495	1.51843e-01	103.309
1.66758609	1.41807e-01	157.840
0.70515850	7.54120e-03	166.221
1.13372508	1.52999e-01	141.008
1.36078275	1.18215e-02	118.304
1.01973059	1.60611e-02	109.673
0.33562288	9.05333e-02	147.304
0.61910426	9.27776e-02	113.094
1.76349867	9.52557e-02	108.518
0.93812078	3.69357e-02	123.071
1.82934287	7.44825e-02	110.807
0.71072889	3.37601e-02	164.220
0.21326290	7.51016e-02	109.880
0.45716573	1.39821e-01	124.173
0.74674429	8.48231e-02	131.399
1.51857059	4.72275e-02	119.171
1.28263360	7.42110e-02	138.943
0.55961801	1.50053e-01	134.167
1.89403628	5.53224e-02	127.311
0.89297119	8.66885e-02	127.403
1.81822326	1.33560e-01	151.825
1.09578258	4.11540e-02	132.400
0.56315526	1.21564e-01	147.720
1.77615869	9.91845e-02	158.827
0.95425466	1.34126e-01	164.361
1.12561362	1.39581e-01	151.397
0.18664012	1.27820e-01	164.445
0.34674870	3.51850e-02	146.535
0.91284006	2.34482e-02	153.945
1.32806635	7.50112e-02	143.855
1.62174858	6.35409e-02	151.526
1.20491499	1.50936e-01	124.350
0.33983621	1.64003e-02	113.390
1.80852517	1.57624e-02	126.819
1.43847231	5.43943e-02	107.106
0.14867354	7.76752e-02	123.015
1.25368738	9.21390e-02	132.083
0.12722853	5.48561e-02	134.134
1.47924553	7.08014e-02	115.096
1.70891129	1.22111e-01	139.170
1.08115805	8.31405e-02	160.522
0.98246732	9.00974e-02	139.935
0.19450080	1.06418e-01	159.530
0.86166613	1.00002e-01	104.510
1.58881131	1.03908e-01	150.122
0.68451154	7.15461e-02	153.369
1.51600041	1.98233e-02	148.023
1.84900741	1.18145e-01	109.410
1.42280405	1.19386e-01	125.355
1.65467903	4.86026e-02	129.830
0.73449013	1.10722e-01	149.158
0.42348693	1.38143e-01	138.781
1.35924188	1.31948e-01	164.066
0.10182810	8.76555e-02	135.584
1.38476569	3.08702e-03	124.909
1.42951317	4.07245e-02	104.142
0.65166143	4.37604e-02	141.124
0.61621826	1.37983e-01	159.222
0.80035989	1.03018e-01	115.270
1.78735075	6.50132e-02	120.754
1.51429343	7.04304e-02	102.346
1.37656904	5.95574e-03	143.574
0.16641465	1.84537e-02	160.772
0.43780691	2.97636e-02	133.142
1.14551023	1.49726e-01	108.922
0.83653525	3.87933e-02	155.252
0.41110189	4.71280e-02	117.079
1.64886824	1.30758e-01	119.727
1.71143937	1.23158e-01	151.663
1.76004709	1.49397e-01	162.258
1.46570170	3.52899e-02	122.414
1.56851195	6.62611e-02	123.364
1.64297612	4.74521e-02	115.433
1.82228415	7.36340e-02	155.821
0.46233102	4.76198e-02	144.057
1.30370065	6.72244e-02	103.412
0.62841231	2.17449e-02	111.938
0.13784332	1.28982e-01	116.660
1.01549928	7.72338e-02	111.889
0.85863018	1.17646e-01	154.831
1.87651699	2.28772e-02	106.422
0.52229518	1.25418e-01	120.002
1.41522119	3.34167e-02	136.133
1.71259822	5.09166e-02	136.697
1.62788245	2.47087e-02	159.763
0.92415165	1.09442e-01	167.320
0.43099845	9.92221e-02	129.383
1.41229068	3.24575e-03	166.845
0.93529775	4.88750e-03	153.819
0.67315779	1.30985e-01	129.747
0.97124169	1.35664e-01	112.987
1.34617543	3.75945e-02	164.848
1.29628325	9.74941e-02	116.574
1.40034040	7.99525e-02	163.127
1.28925322	1.02158e-01	153.225
0.56547098	8.17604e-02	164.009
0.32272371	5.11302e-02	163.495
1.11309766	1.36113e-01	108.772
1.42703896	1.00826e-01	109.853
1.83765861	6.56632e-03	118.731
1.55740416	1.16946e-01	137.522
1.64780445	7.12041e-02	138.179
1.92439655	3.17311e-02	156.832
1.79595064	2.38819e-02	145.414
0.48517870	6.77419e-02	125.683
0.92983456	7.53164e-02	158.071
0.64676037	3.81410e-02	152.263
1.12338424	2.45563e-02	132.304
0.91685857	5.34623e-02	130.701
1.09660095	6.70386e-02	147.030
0.22810699	2.13746e-02	117.000
1.61253959	5.87215e-02	140.651
0.89969241	1.45424e-01	168.753
0.72615806	1.25793e-01	103.574
1.25595487	1.35082e-01	147.158
0.63968261	9.59996e-03	154.545
1.66943521	1.41283e-01	131.331
0.36279516	3.06109e-02	161.885
0.86557398	1.30251e-01	119.426
0.18234548	1.86474e-02	129.452
1.91812415	9.80104e-02	125.517
1.75308221	1.14699e-01	124.605
0.54727907	9.13319e-02	100.410
0.30893305	2.24515e-02	146.140
1.43019212	1.25996e-01	141.349
0.07518648	1.13499e-01	161.867
1.82430736	3.80025e-02	116.271
0.52693825	9.70337e-02	122.225
1.21205244	1.14303e-01	135.695
1.18425554	4.26562e-02	117.857
1.57577577	9.73074e-02	136.278
0.75005064	6.67809e-02	112.561
1.03541397	5.44324e-02	166.554
0.25631629	1.55764e-01	167.607
0.79280707	4.36402e-02	126.373
0.98690170	1.13720e-01	122.787
1.71921456	3.70222e-02	145.273
0.70726693	1.24718e-01	147.532
1.66333818	8.41511e-02	131.701
0.39025642	1.50778e-01	133.206
1.24202509	1.27979e-01	109.179
1.02241957	1.01154e-01	146.673
0.26943781	1.08664e-01	142.640
0.91109644	3.29656e-02	117.637
0.33176502	1.04236e-01	156.367
0.78994679	1.12378e-01	126.574
1.37099315	1.58976e-01	133.381
1.58544216	8.70847e-02	153.096
1.06672476	1.76033e-02	117.303
1.93971957	7.84735e-02	148.519
1.60404790	5.85501e-02	110.669
0.83093511	2.52361e-02	163.217
1.86966896	9.82473e-02	113.228
1.29836768	3.18658e-02	108.157
1.04481586	1.46229e-01	101.179
1.02587069	9.58907e-02	107.349
0.90416702	4.38460e-02	102.131
1.59668503	5.02958e-02	155.445
1.29517061	9.56514e-02	147.663
0.10561240	7.17624e-02	149.218
1.22823615	7.91861e-04	152.791
1.22759684	4.91246e-02	137.799
0.32897746	9.20709e-03	142.549
0.01899904	5.63849e-02	103.794
1.42078419	1.53707e-01	125.417
1.69348280	1.53792e-01	114.203
1.73453294	5.49968e-02	158.673
1.87320454	1.49536e-01	105.638
1.10304691	1.28169e-01	168.402
1.95605966	1.61256e-03	139.455
0.41763872	7.28105e-02	165.882
0.54884144	2.06572e-02	147.529
0.97887698	1.25647e-01	158.989
0.79726078	7.77703e-02	123.707
1.32102350	8.90734e-02	137.293
0.84125934	1.13940e-01	102.624
1.05020733	1.56381e-01	145.738
0.49244837	6.33254e-02	132.714
0.24447695	2.57334e-02	139.565
0.08744259	4.28852e-03	111.012
1.62342307	1.54500e-01	143.483
1.27017759	7.63472e-02	126.006
1.88065650	8.80238e-02	136.484
1.88540181	1.53560e-01	114.492
1.23165855	1.13345e-01	149.655
1.90042573	2.58729e-02	114.596
1.89028697	2.53391e-03	112.690
0.53966141	7.39460e-03	122.289
0.56138992	1.55105e-01	117.824
0.37734811	5.62772e-02	110.591
1.85857938	1.54684e-01	166.659
0.77050367	1.57361e-01	113.914
0.58262638	1.47646e-01	106.237
1.23707349	4.79781e-02	156.034
1.73844973	4.32002e-02	165.528
1.69058683	1.44214e-01	168.138
1.98975751	1.42581e-01	156.895
0.05323373	1.56092e-01	162.513
1.31784506	1.53343e-01	167.400
1.49853921	7.59200e-02	109.947
1.76798715	1.28567e-01	114.037
1.94135470	1.98915e-02	135.178
1.89325191	4.84451e-02	141.268
0.63072398	2.81292e-02	101.638
0.28799007	1.58433e-01	118.431
0.73303030	6.66387e-02	102.091
0.80727411	2.36389e-02	135.994
0.38896377	9.32291e-02	160.375
0.29471987	1.46688e-01	103.950
1.41956967	9.36435e-02	153.733
1.86649665	1.58271e-01	146.410
1.98422149	6.86145e-02	113.565
0.25454710	9.34618e-02	120.655
1.98261046	8.98535e-02	108.729
0.03351814	1.19224e-01	102.494
1.96027745	1.15701e-01	168.253
0.53363284	6.91819e-02	102.868
0.08373175	2.01755e-02	106.116
0.10894151	1.30742e-02	134.400
1.73242668	1.41735e-01	101.896
1.35371085	8.02692e-02	149.559
0.21998269	4.09164e-03	100.822
1.55892455	1.29223e-01	112.040
0.84213750	9.66913e-03	100.241
0.04129691	1.48300e-01	108.646
0.65408268	5.62316e-03	101.278
1.68982228	1.18661e-01	106.014
1.10070401	5.40748e-02	121.590
1.47434160	1.43108e-01	114.117
1.21637928	2.83621e-02	167.241
1.90322766	5.10622e-03	156.196
1.36715967	4.61676e-02	133.777
1.59159822	9.63159e-02	111.568
1.44853365	1.54045e-01	102.223
0.69095867	1.12200e-03	126.900
1.16553555	4.43703e-02	167.083
0.11546070	4.01732e-02	103.480
1.14628937	6.09132e-02	107.017
1.96251761	1.23325e-01	150.939
0.42083075	3.60700e-02	141.192
0.00158751	1.57070e-01	138.059
1.87934784	6.05166e-04	148.995
1.97168825	1.05928e-01	118.103
0.50236471	3.15443e-02	116.375
0.58777809	1.26727e-01	109.273
1.52685680	2.16591e-03	121.391
1.91784690	1.55537e-01	160.083
1.08464281	1.47457e-01	128.274
0.63670258	3.63994e-04	136.448
0.64173125	1.18289e-01	132.844
1.28466439	1.07969e-01	169.217
0.75851559	9.34154e-02	135.806
0.82641508	2.87649e-02	105.450
1.30059162	1.48169e-03	103.748
1.98729259	1.46946e-01	119.014
1.85180377	1.48760e-01	124.112
0.37138204	1.08042e-01	169.062
1.67263422	6.90570e-02	105.477
1.05581749	1.43314e-01	157.475
0.49726889	3.60353e-03	165.127
0.18959806	6.17534e-02	106.326
1.99244133	1.52767e-01	151.104
1.93427227	1.36977e-01	109.623
1.94691809	1.05440e-01	107.751
1.79241911	1.49057e-01	155.355
0.23490108	2.96963e-02	106.687
1.91199377	1.10015e-01	128.969
0.30599862	1.59822e-01	158.401
1.47799587	8.24600e-02	124.704
1.03058387	1.28150e-01	104.907
1.78949957	2.15302e-02	158.558
1.74385945	1.42085e-01	110.071
1.97971713	1.35232e-01	124.024
1.90972884	8.77077e-02	154.656
1.46690860	1.05734e-01	115.711
1.75478136	1.42549e-01	147.376
1.48910635	1.54297e-01	162.472
1.96407986	1.20093e-01	104.781
0.72955497	1.44565e-01	133.052
0.72288868	4.33647e-02	169.450
1.94886718	1.03482e-01	160.055
1.56396307	3.39007e-03	162.813
1.88686237	1.10404e-01	147.836
0.51083828	1.42723e-01	129.280
1.60982804	1.70059e-04	105.907
1.52105814	1.44048e-01	121.642
1.99716227	1.59130e-01	139.076
1.06453410	9.43237e-02	164.514
1.80740908	6.02485e-02	152.521
1.52855390	1.39062e-01	164.679
0.35718564	4.45454e-02	130.370
1.87450630	6.56339e-02	131.586
1.70666629	1.07229e-01	137.007
1.39416532	1.71216e-02	124.964
0.88952501	3.48908e-02	168.856
1.59868212	1.53954e-02	167.422
1.68459936	1.96011e-02	136.231
1.95182988	1.38527e-01	148.171
0.01628109	8.30275e-02	155.067
0.02397331	1.70005e-02	125.740
1.34246296	1.24510e-01	168.581
0.29021712	8.28017e-02	114.254
0.03059063	1.02575e-01	138.417
0.59684379	1.59873e-01	111.342
1.50664325	1.57715e-01	112.084
1.60744051	9.77365e-02	119.382
0.47551178	5.71215e-02	120.525
1.81542454	1.20369e-01	100.165
1.14189126	1.16218e-01	163.421
1.57878494	1.43673e-01	106.029
0.48663427	1.66499e-02	140.922
0.02670725	8.50000e-02	127.894
1.91351112	1.26200e-01	118.807
0.94870107	3.77173e-02	111.111
1.79908129	1.35823e-01	159.169
1.33779418	5.91594e-02	147.187
1.63716331	2.42058e-02	142.867
1.89979348	8.38788e-02	129.540
0.92748743	1.45763e-02	148.459
1.17501522	8.51255e-02	100.113
0.75225181	8.07558e-02	116.073
1.07460782	1.09950e-02	104.605
1.72269569	1.06376e-01	100.935
0.76182973	1.54207e-01	106.791
0.72091327	4.21681e-02	105.291
0.02198203	1.42334e-01	142.078
1.44038596	2.37253e-02	141.579
1.83221114	3.43202e-02	139.544
1.84354283	1.32424e-01	165.852
1.77239994	8.43448e-02	103.891
1.93191500	8.60518e-02	121.441
1.63898871	1.17846e-01	157.286
1.28107722	3.36740e-02	100.006
1.71500107	1.08806e-01	111.510
0.08149108	1.02462e-01	104.448
1.16106437	1.00654e-01	103.644
1.03997387	8.21761e-02	105.093
1.72845486	1.43438e-01	119.096
1.93610385	2.23020e-02	167.869
0.04949652	1.47755e-01	149.403
1.92871631	3.93315e-02	150.119
1.38028333	1.34992e-01	100.889
0.86857660	7.19160e-02	107.495
1.37915149	1.06620e-01	122.112
1.97284041	4.93902e-02	103.174
1.74779562	8.58249e-02	112.448
1.65684007	1.58036e-01	130.802
1.16772822	5.82041e-03	135.908
1.24187334	1.45039e-01	103.259
0.06312569	2.69834e-02	114.406
1.21806520	8.58236e-03	118.360
1.78058930	1.14467e-01	117.705
0.26367725	3.41716e-02	134.561
1.68178366	1.37165e-01	125.333
1.80067292	1.00280e-01	120.846
1.99501165	2.43743e-02	141.815
1.95347744	7.14559e-02	106.635
1.54621130	1.34847e-01	153.630
1.73794741	2.33029e-03	136.595
0.05101182	9.15131e-02	121.498
1.83915804	2.79375e-03	164.172
1.38910877	1.46378e-01	107.929
1.19838360	1.09422e-01	119.235
0.57684525	3.84018e-02	134.650
0.79849280	9.55096e-02	147.906
1.06935020	1.13799e-02	122.881
1.31933748	1.55959e-01	114.288
0.77382475	1.42042e-01	117.125
0.89556520	5.56344e-02	145.939
0.96600577	1.40691e-01	133.271
1.19625586	8.20402e-02	165.744
0.77958840	1.56507e-01	137.333
0.27541754	1.59624e-01	111.314
1.74499438	7.23351e-02	116.185
0.34969642	4.87150e-02	104.315
1.00723038	1.58171e-01	107.798
