#Matching Time          sfactor                     totaldEdy  
  0.40                 9.45780628                   1605.0825
  0.60                 9.57373149                   1611.4263
  0.80                 9.51334656                   1611.0305
  1.00                 9.40579478                   1611.2991
  1.20                 9.28628352                   1611.7294
  1.40                 9.16710521                   1611.7263
  1.60                 9.05483953                   1611.6766
  1.80                 8.95037952                   1611.1836
  2.00                 8.85767918                   1611.4384
  3.00                 8.51582854                   1607.7210
  4.00                 8.34157066                   1607.1589
  5.00                 8.26852593                   1605.7525
  6.00                 8.24822278                   1600.4960
  7.00                 8.28021073                   1603.5804
  8.00                 8.28710938                   1606.9754
  9.00                 8.28710938                   1606.9754
 10.00                 8.28710938                   1606.9754
